lat,lng,buildings
45.0594,16.7227,269627
45.9609,15.9005,441148
44.9212,13.5686,76297
42.9599,100.283,100
45.3663,112.638,31
48.0747,112.26,2
46.2842,110.712,109
47.1115,114.189,11
43.2217,103.095,536
46.9342,116.841,22
44.3333,95.5808,183
44.4793,111.892,22
43.8294,99.4381,101
46.2718,112.07,36
45.3742,109.97,4363
43.564,109.866,80
49.5793,98.5149,131
48.6817,99.4809,121
44.2087,103.733,759
44.5282,97.0735,67
47.6533,98.8467,487
46.6176,98.2347,82
44.4751,110.581,362
46.7628,99.7688,166
43.1002,101.695,2536
49.8003,101.749,562
46.886,101.291,2451
45.3779,111.315,28
44.8541,100.035,832
44.7017,98.559,1700
49.0628,93.5887,38
45.394,96.1262,274
43.9754,100.882,730
44.9859,101.501,165
47.3234,95.6991,424
48.1949,94.6655,41
48.9537,113.068,57
47.1291,105.771,196
45.7352,99.1535,390
45.0975,102.953,52
47.1846,111.476,25
48.7963,101.065,776
48.5435,97.8846,2077
43.4777,107.209,1092
46.0868,103.613,98
49.2602,95.2374,96
48.5907,90.2849,8890
47.1972,110.082,6616
47.0685,104.294,1150
44.1017,102.314,1618
44.4197,107.897,33
48.8881,102.635,967
49.7018,100.138,11180
45.8733,100.653,9387
45.9903,102.14,6234
47.7835,100.406,810
47.9771,103.483,262
45.3542,108.604,268
45.1896,104.391,456
46.2594,107.932,3039
45.3172,107.218,209
45.2626,105.814,602
46.1633,105.07,864
50.6063,99.1692,51
46.2803,109.333,394
49.0332,107.24,35
47.9836,93.0478,714
48.8397,91.9369,272
45.5756,97.644,233
46.4499,96.6913,6473
48.0418,104.998,2811
49.9258,92.4666,7915
50.7126,100.82,1541
44.3671,106.526,54
43.3247,104.482,8416
44.297,105.138,79
46.2206,106.51,6769
46.9877,102.8,4484
49.4323,96.8803,113
47.7473,91.428,8259
47.1703,107.229,8392
48.1106,107.969,16645
47.5001,97.2771,6505
49.0058,105.725,12622
47.8912,101.952,8916
43.4099,105.853,1298
48.1164,109.423,149
48.9576,104.189,26400
48.0861,106.494,323566
19.8003,107.838,142
20.8585,108.19,61
9.34121,106.672,293
8.22816,106.334,389
7.83074,113.352,30
11.8092,108.482,12731
8.80318,104.402,239
11.5599,107.353,3382
9.6515,103.594,473
22.337,105.376,332
20.6503,107.026,10400
19.3587,105.505,960
15.9419,108.734,147504
10.1908,105.878,92420
10.7075,108.139,3330
20.4325,105.855,29885
10.4521,107.012,108172
0.972827,129.069,2313
21.4962,106.205,30332
31.7618,38.935,121
67.6752,-163.052,57
29.098,36.4679,378
31.9634,37.6381,386
31.075,36.8084,1486
30.8849,38.103,26
32.3309,34.9954,454065
30.1755,35.9888,2206
31.2535,35.4981,68232
33.4067,34.4805,4166
34.3059,35.3205,247669
57.9873,-0.121517,2
57.5208,-9.30097,46
49.7735,-3.60447,13570
49.4579,-6.77591,206
55.9566,-6.6785,4329
59.4669,-6.33699,9
57.9487,-1.92606,25865
61.2893,-1.2148,116
60.4836,0.025232,1393
58.6832,-5.01638,2766
58.7609,-3.14785,33906
57.6703,-7.44096,8425
50.4619,-6.30089,6582
56.7469,-7.96471,2003
